Date,Banks_Live_Count,Total_Volume_Mn,Total_Value_Cr,P2P_Volume_Mn,P2P_Value_Cr,P2M_Volume_Mn,P2M_Value_Cr,P2M_Volume_Share_Pct,P2M_Value_Share_Pct,Internet_Subscribers_Mn,Is_Diwali,Is_Holi,Is_Eid,Is_Christmas_NewYear,Is_Navratri_Dussehra,Is_Quarter_End,ATS_Overall,ATS_P2P,ATS_P2M,ATS_Divergence,Volume_Growth_MoM_Pct,ATS_P2P_Lag_1,ATS_P2P_Lag_2,ATS_P2P_Lag_3,ATS_P2M_Lag_1,ATS_P2M_Lag_2,ATS_P2M_Lag_3,ATS_Overall_Lag_1,ATS_Overall_Lag_2,ATS_Overall_Lag_3,Internet_Subscribers_Mn_Scaled
2023-12-01,522,12020.23,1822949.42,4754.79,1347696.13,7265.44,475253.0,60.44,26.07,887.4,0,0,0,1,0,1,1516.5678360563816,2834.3967451769686,654.1283115681914,2180.2684336087773,6.99,2780.6756899173456,2715.8745004712737,2704.9724910361483,678.5403617778222,658.0687475165082,640.9637842813396,1548.4607962945327,1503.9003610374107,1496.0018530290295,0.5104736913541141
2024-01-01,550,12203.02,1841083.97,4753.09,1340323.61,7449.93,500760.37,61.05,27.2,890.87,0,0,0,0,0,0,1508.7117533200797,2819.8994969588202,672.167886141212,2147.7316108176083,1.52,2834.3967451769686,2780.6756899173456,2715.8745004712737,654.1283115681914,678.5403617778222,658.0687475165082,1516.5678360563816,1548.4607962945327,1503.9003610374107,0.5261729177034788
2024-02-01,560,12102.67,1827869.35,4742.69,1348523.03,7359.98,479346.31,60.81,26.22,894.33,0,0,0,0,0,0,1510.302561335639,2843.371651952795,651.2875170856443,2192.084134867151,-0.82,2819.8994969588202,2834.3967451769686,2780.6756899173456,672.167886141212,654.1283115681914,678.5403617778222,1508.7117533200797,1516.5678360563816,1548.4607962945327,0.5418269013256114
2024-03-01,572,13440.0,1978353.23,5144.03,1460125.24,8295.97,518227.99,61.73,26.19,897.8,0,1,0,0,0,1,1471.9890104166666,2838.4850788195254,624.6743780413864,2213.810700778139,11.05,2843.371651952795,2819.8994969588202,2834.3967451769686,651.2875170856443,672.167886141212,654.1283115681914,1510.302561335639,1508.7117533200797,1516.5678360563816,0.5575261276749761
2024-04-01,583,13303.99,1964464.52,4996.52,1433520.79,8307.47,530943.73,62.44,27.03,901.27,0,0,1,0,0,0,1476.5980130772798,2869.0384307478002,639.1160365309776,2229.922394216823,-1.01,2838.4850788195254,2843.371651952795,2819.8994969588202,624.6743780413864,651.2875170856443,672.167886141212,1471.9890104166666,1510.302561335639,1508.7117533200797,0.5732253540243399
2024-05-01,598,14035.84,2044937.05,5231.01,1488235.39,8804.83,556701.66,62.73,27.22,904.73,0,0,0,0,0,0,1456.9395561647893,2845.0249378227145,632.2684935427487,2212.7564442799658,5.5,2869.0384307478002,2838.4850788195254,2843.371651952795,639.1160365309776,624.6743780413864,651.2875170856443,1476.5980130772798,1471.9890104166666,1510.302561335639,0.5888793376464734
2024-06-01,602,13885.14,2007081.2,5164.39,1447142.17,8720.75,559938.98,62.81,27.9,908.2,0,0,0,0,0,1,1445.4886302910882,2802.155085111697,642.0766333170886,2160.0784517946086,-1.07,2845.0249378227145,2869.0384307478002,2838.4850788195254,632.2684935427487,639.1160365309776,624.6743780413864,1456.9395561647893,1476.5980130772798,1471.9890104166666,0.6045785639958372
2024-07-01,605,14435.55,2064292.41,5435.96,1471369.99,8999.59,592922.41,62.34,28.72,911.67,0,0,0,0,0,0,1430.0060683520892,2706.7343946607407,658.8326912670466,2047.901703393694,3.96,2802.155085111697,2845.0249378227145,2869.0384307478002,642.0766333170886,632.2684935427487,639.1160365309776,1445.4886302910882,1456.9395561647893,1476.5980130772798,0.6202777903452019
2024-08-01,608,14963.05,2060735.57,5625.77,1484591.0,9337.28,576144.57,62.4,27.96,915.13,0,0,0,0,0,0,1377.2162560440552,2638.9116512050796,617.0368351382843,2021.8748160667951,3.65,2706.7343946607407,2802.155085111697,2845.0249378227145,658.8326912670466,642.0766333170886,632.2684935427487,1430.0060683520892,1445.4886302910882,1456.9395561647893,0.6359317739673345
2024-09-01,622,15041.75,2063994.71,5688.87,1497941.07,9352.88,566053.64,62.18,27.43,918.6,0,0,0,0,1,1,1372.1772466634534,2633.1082798517104,605.2185423099623,2027.8897375417482,0.53,2638.9116512050796,2706.7343946607407,2802.155085111697,617.0368351382843,658.8326912670466,642.0766333170886,1377.2162560440552,1430.0060683520892,1445.4886302910882,0.6516310003166992
2024-10-01,632,16584.97,2349821.46,6281.79,1681872.99,10303.18,667948.46,62.12,28.43,922.07,0,0,0,0,1,0,1416.83793217594,2677.3785656636082,648.2934977356506,2029.0850679279577,10.26,2633.1082798517104,2638.9116512050796,2706.7343946607407,605.2185423099623,617.0368351382843,658.8326912670466,1372.1772466634534,1377.2162560440552,1430.0060683520892,0.667330226666063
2024-11-01,637,15482.02,2155187.4,5833.16,1556010.77,9648.87,599176.63,62.32,27.8,925.53,1,0,0,0,0,0,1392.058271465868,2667.5262979242816,620.981140796798,2046.5451571274837,-6.65,2677.3785656636082,2633.1082798517104,2638.9116512050796,648.2934977356506,605.2185423099623,617.0368351382843,1416.83793217594,1372.1772466634534,1377.2162560440552,0.6829842102881956
2024-12-01,641,16730.01,2324699.91,6335.63,1692632.54,10394.38,632067.37,62.13,27.19,929.0,0,0,0,1,0,1,1389.5388645912349,2671.608884988549,608.0856866883836,2063.5231983001654,8.06,2667.5262979242816,2677.3785656636082,2633.1082798517104,620.981140796798,648.2934977356506,605.2185423099623,1392.058271465868,1416.83793217594,1372.1772466634534,0.6986834366375603
2025-01-01,647,16996.0,2348037.12,6426.25,1703333.03,10569.75,644704.09,62.19,27.46,934.55,0,0,0,0,0,0,1381.5233702047542,2650.5863139467033,609.9520707679935,2040.6342431787098,1.59,2671.608884988549,2667.5262979242816,2677.3785656636082,608.0856866883836,620.981140796798,648.2934977356506,1389.5388645912349,1392.058271465868,1416.83793217594,0.723793150251097
2025-02-01,653,16106.19,2196481.69,6039.45,1606397.95,10066.74,590083.74,62.5,26.86,940.1,0,0,0,0,0,0,1363.7500178502798,2659.84145907326,586.1716305377909,2073.669828535469,-5.24,2650.5863139467033,2671.608884988549,2667.5262979242816,609.9520707679935,608.0856866883836,620.981140796798,1381.5233702047542,1389.5388645912349,1392.058271465868,0.7489028638646338
