Snapshot_Month,App_Name,Total_Volume_Mn,Total_Value_Cr,Network_Volume,Market_Share_Pct,Market_Share_Squared
2024-02-01,Freecharge,1.65,416.19,12175.04,0.013552316871238203,0.00018366529257844765
2024-02-01,Jio Payments Bank Apps,1.64,145.51,12175.04,0.013470181617473124,0.00018144579280771086
2024-02-01,IndusInd Bank Apps,1.46,272.43,12175.04,0.011991747049701683,0.000143801997304029
2024-02-01,Navi,1.42,68.62,12175.04,0.011663206034641363,0.00013603037500649473
2024-02-01,Punjab National Bank Apps,1.36,359.72,12175.04,0.011170394512050884,0.00012477771355485652
2024-02-01,Union Bank Of India Apps,1.2,483.59,12175.04,0.009856230451809602,9.714527871917891e-05
2024-02-01,Omnicard,1.15,38.18,12175.04,0.009445554182984203,8.921849382369037e-05
2024-02-01,CBDC,0.94,64.13,12175.04,0.0077207138539175215,5.9609422414073946e-05
2024-02-01,Bank of Baroda Apps,0.76,369.24,12175.04,0.0062422792861460815,3.896605068624843e-05
2024-02-01,Au Small Finance Bank Apps,0.73,276.63,12175.04,0.005995873524850841,3.595049932600725e-05
2024-02-01,Central Bank of India Apps,0.72,165.64,12175.04,0.005913738271085762,3.497230033890442e-05
2024-02-01,Kiwi,0.55,81.25,12175.04,0.004517438957079402,2.0407254730938636e-05
2024-02-01,DBS Bank Apps,0.54,202.06,12175.04,0.0044353037033143215,1.9671918940633737e-05
2024-02-01,Indian Bank Apps,0.42,160.09,12175.04,0.003449680658133361,1.1900296643099417e-05
2024-02-01,Timepay,0.42,3.95,12175.04,0.003449680658133361,1.1900296643099417e-05
2024-02-01,Karnataka Bank Apps,0.41,85.93,12175.04,0.003367545404368281,1.1340362050481929e-05
2024-02-01,South Indian Bank Apps,0.36,104.62,12175.04,0.002956869135542881,8.743075084726105e-06
2024-02-01,Shri Ram One,0.35,31.2,12175.04,0.002874733881777801,8.264094891041264e-06
2024-02-01,Fino Payments Bank Apps,0.3,38.14,12175.04,0.0024640576129524006,6.071579919948682e-06
2024-02-01,Bank of India Apps,0.24,91.81,12175.04,0.0019712460903619205,3.885811148767156e-06
2024-02-01,HSBC Bank Apps,0.21,116.52,12175.04,0.0017248403290666804,2.9750741607748543e-06
2024-02-01,Tata Neu,0.2,17.14,12175.04,0.0016427050753016008,2.698479964421638e-06
2024-02-01,Fave,0.19,36.57,12175.04,0.0015605698215365204,2.435378167890527e-06
2024-02-01,UCO Bank Apps,0.17,61.26,12175.04,0.0013962993140063606,1.949651774294633e-06
2024-02-01,Tamilnad Mercantile Bank Apps,0.12,32.14,12175.04,0.0009856230451809602,9.71452787191789e-07
2024-02-01,Indian Overseas Bank Apps,0.11,29.06,12175.04,0.0009034877914158803,8.162901892375453e-07
2024-02-01,Digikhata,0.1,35.77,12175.04,0.0008213525376508004,6.746199911054095e-07
2024-02-01,LivQuik Apps,0.09,28.75,12175.04,0.0007392172838857203,5.464421927953815e-07
2024-02-01,City Union Bank Apps,0.08,24.75,12175.04,0.0006570820301206402,4.3175679430746186e-07
2024-02-01,Citi Bank Apps,0.07,70.14,12175.04,0.0005749467763555603,3.305637956416506e-07
2024-02-01,IDBI Bank Apps,0.06,32.49,12175.04,0.0004928115225904801,2.428631967979473e-07
2024-02-01,Dhani,0.05,3.38,12175.04,0.0004106762688254002,1.6865499777635238e-07
2024-02-01,NSDL Payments Bank Apps,0.05,6.59,12175.04,0.0004106762688254002,1.6865499777635238e-07
2024-02-01,Karur Vysya Bank Apps,0.04,15.42,12175.04,0.0003285410150603201,1.0793919857686546e-07
2024-02-01,Bank of Maharashtra Apps,0.04,7.68,12175.04,0.0003285410150603201,1.0793919857686546e-07
2024-02-01,Equitas Small Apps,0.04,24.46,12175.04,0.0003285410150603201,1.0793919857686546e-07
2024-02-01,Flipkart UPI,0.03,0.68,12175.04,0.00024640576129524006,6.071579919948682e-08
2024-02-01,Others,0.03,14.17,12175.04,0.00024640576129524006,6.071579919948682e-08
2024-02-01,Punjab And Sind Bank Apps,0.02,10.71,12175.04,0.00016427050753016004,2.6984799644216366e-08
2024-02-01,Cheq,0.02,1.54,12175.04,0.00016427050753016004,2.6984799644216366e-08
2024-02-01,Niyo Global,0.02,4.04,12175.04,0.00016427050753016004,2.6984799644216366e-08
2024-03-01,PhonePe,6502.15,1002387.84,13460.81,48.304299666959125,2333.3053663153873
2024-03-01,Google Pay,5061.18,695196.05,13460.81,37.599371806005735,1413.712760206259
2024-03-01,Paytm,1230.04,134406.85,13460.81,9.137934492797982,83.5018467946671
2024-03-01,Cred,132.31,44991.57,13460.81,0.9829274761325656,0.9661464233363353
2024-03-01,Axis Bank Apps,94.6,7435.92,13460.81,0.7027808876286048,0.49390097601604965
